Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"877906004","867071858","MODI","TRAD","2024-01-22T21:19:56Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-16T21:37:16Z","2024-01-16","2059-11-17","","false","BILT","false","false","false","200,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAJ6","","REDID","CMBX.NA.BBB-.10","","","","","","false","","","","","","","","Cash"
"877906055","867071657","MODI","TRAD","2024-01-22T21:19:57Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-16T21:39:16Z","2024-01-16","2059-11-17","","false","BILT","false","false","false","100,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BERAJ6","","REDID","CMBX.NA.BBB-.10","","","","","","false","","","","","","","","Cash"
"877870552","","NEWT","TRAD","2024-01-22T21:16:22Z","","CR","Credit:Index:CDX:CDXIG","I","true","2024-01-22T21:16:22Z","2024-01-23","2028-12-20","","false","BBSF","false","true","","100,000,000+","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0054952","","","","","","false","","","3","","","A004","","","","","","","","2079251.18800","MNTH","","","","3","","","","UFRO","USD","","","","","","false","1","2I65BYED3","","REDID","MARKIT CDX.NA.IG.41 12/28 ICE","","","","","","false","","","","","","","",""
"877906592","","NEWT","TRAD","2024-01-22T21:31:11Z","false","CR","Credit:Index:CDX:CDXEmergingMarkets","I","false","2024-01-22T21:31:11Z","2023-09-20","2028-12-20","","false","TPSE","false","false","","10,000,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","96.65","","USD","","","","false","","","1","","","A004","","","","","","","","","MNTH","","","","3","","","","","","","","","","","false","","2I65BZFE7","","REDID","CDX.EM.40.V1","","","OTHR","","","false","","","","","","","",""
"877907456","845554399","MODI","TRAD","2024-01-22T21:31:30Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:40:57Z","2024-01-03","2051-02-17","","false","BILT","false","false","false","450,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0165","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BEPAD3","","REDID","CMBX.NA.AA.4","","","","","","false","","","","","","","","Cash"
"877908603","845554420","MODI","TRAD","2024-01-22T21:32:42Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:41:11Z","2024-01-03","2051-02-17","","false","BILT","false","false","false","500,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0165","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BEPAD3","","REDID","CMBX.NA.AA.4","","","","","","false","","","","","","","","Cash"
"877908779","845554385","MODI","TRAD","2024-01-22T21:33:09Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:40:56Z","2024-01-03","2051-02-17","","false","BILT","false","false","false","500,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0165","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BEPAD3","","REDID","CMBX.NA.AA.4","","","","","","false","","","","","","","","Cash"
"877909218","845554433","MODI","TRAD","2024-01-22T21:33:11Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:41:57Z","2024-01-03","2051-02-17","","false","BILT","false","false","false","500,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0165","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BEPAD3","","REDID","CMBX.NA.AA.4","","","","","","false","","","","","","","","Cash"
"877910255","845554469","MODI","TRAD","2024-01-22T21:33:35Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:40:59Z","2024-01-03","2051-02-17","","false","BILT","false","false","false","690,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0165","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BEPAD3","","REDID","CMBX.NA.AA.4","","","","","","false","","","","","","","","Cash"
"877910256","845554381","MODI","TRAD","2024-01-22T21:33:33Z","false","CR","Credit:Index:CMBX:CMBX","N","false","2024-01-02T15:40:56Z","2024-01-03","2051-02-17","","false","BILT","false","false","false","500,000","","USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0165","","","","","","","","","","","","false","","","","","","A004","","","","","","","","","MNTH","","","","1","","","","","","USD","","","","","false","1","137BEPAD3","","REDID","CMBX.NA.AA.4","","","","","","false","","","","","","","","Cash"
