Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
"883689925","","NEWT","TRAD","2024-01-26T09:32:28Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:32:28Z","2024-01-27","2028-06-20","","false","BBSF","false","true","","92,230,001+","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0051838","","","","","","false","","","3","","","A004","","","","","","","","1930492.14255","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDC6","","REDID","MARKIT ITRX EUROPE 06/28 ICE","","","","","","true","","","","0.000635","","3","",""
"883689926","","NEWT","TRAD","2024-01-26T09:32:28Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:32:28Z","2024-01-27","2028-12-20","","false","BBSF","false","true","","92,230,001+","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0058188","","","","","","false","","","3","","","A004","","","","","","","","1852202.33806","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","true","","","","0.000635","","3","",""
"883697559","","NEWT","TRAD","2024-01-26T09:49:44Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:49:44Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","6,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.0317345","","","","","","false","","","3","","","A004","","","","","","","","481885.36000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"883702113","","NEWT","TRAD","2024-01-26T09:51:34Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","false","2024-01-26T09:51:34Z","2024-01-29","2028-12-20","","","TWSF","false","false","","3,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.031688","","","","","","false","","","3","","","A004","","","","","","","","241555.85958","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","","","","","","","false","","","","","","","",""
"883594572","","NEWT","TRAD","2024-01-26T09:02:13Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:02:13Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","21,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005816","","","","","","false","","","3","","","A004","","","","","","","","422002.52244","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"883600558","","NEWT","TRAD","2024-01-26T09:03:07Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:03:07Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","25,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.0058291","","","","","","false","","","3","","","A004","","","","","","","","500866.63000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"883615707","","NEWT","TRAD","2024-01-26T09:05:37Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","false","2024-01-26T09:05:37Z","2024-01-29","2028-12-20","","","TWSF","false","false","","10,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005835","","","","","","false","","","3","","","A004","","","","","","","","200073.68000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","","","","","","","false","","","","","","","",""
"883617200","","NEWT","TRAD","2024-01-26T09:05:49Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:05:49Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","15,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.0318225","","","","","","false","","","3","","","A004","","","","","","","","1198908.96000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"883624836","","NEWT","TRAD","2024-01-26T09:07:13Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:07:13Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","30,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005842","","","","","","false","","","3","","","A004","","","","","","","","599249.53000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"883624844","","NEWT","TRAD","2024-01-26T09:07:13Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:07:13Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","20,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.005842","","","","","","false","","","3","","","A004","","","","","","","","399499.68000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I666VDI3","","REDID","MARKIT ITRX EUROPE 12/28 ICE","","","","","","false","","","","","","","",""
"883631624","","NEWT","TRAD","2024-01-26T09:08:22Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","true","2024-01-26T09:08:22Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","10,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","","","","","","0.0318875","","","","","","false","","","3","","","A004","","","","","","","","796416.06000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667KKS6","","REDID","MKIT ITRX EUR XOVER 12/28 ICE","","","","","","false","","","","","","","",""
"883632202","","NEWT","TRAD","2024-01-26T09:08:32Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","false","2024-01-26T09:08:32Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","25,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.006755","","","","","","false","","","3","","","A004","","","","","","","","394166.43000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667DCO0","","REDID","MKIT ITRX EUR SNR FIN 12/28 I","","","","","","false","","","","","","","",""
"883635236","","NEWT","TRAD","2024-01-26T09:09:04Z","","CR","Credit:Index:iTraxx:iTraxxEurope","I","false","2024-01-26T09:09:04Z","2024-01-27","2028-12-20","","false","BBSF","false","false","","25,000,000","","EUR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","0.00676","","","","","","false","","","3","","","A004","","","","","","","","393592.37000","MNTH","","","","3","","","","UFRO","EUR","","","","","","false","1","2I667DCO0","","REDID","MKIT ITRX EUR SNR FIN 12/28 I","","","","","","false","","","","","","","",""
